alliance_id;alliance_name;color_hex;founded_year;description
NATO;North Atlantic Treaty Organization;#003399;1949;Military and political alliance
EU;European Union;#FFD700;1957;Economic and political union
BRICS;BRICS;#FF6B6B;2009;Economic cooperation alliance
SCO;Shanghai Cooperation Organisation;#EE3B3B;2001;Regional cooperation organization
ASEAN;Association of Southeast Asian Nations;#0066CC;1967;Regional organization
AU;African Union;#009900;2002;Pan-African organization
OPEC;Organization of the Petroleum Exporting Countries;#333333;1960;Oil-producing nations
G7;Group of Seven;#808080;1975;Advanced economies
